RS01SUM2-MJ01B-12-ADCPSK101,offline
RS01SLBS-LJ01A-10-ADCPTE101,10/11/2021: no recent evaluation
RS03AXBS-LJ03A-10-ADCPTE303,10/11/2021: no recent evaluation
RS03CCAL-MJ03F-11-PADCPA301,10/11/2021: no recent evaluation
RS03ASHS-MJ03B-09-BOTPTA304,10/11/2021: no recent evaluation
RS03CCAL-MJ03F-05-BOTPTA301,10/11/2021: no recent evaluation
RS03ECAL-MJ03E-06-BOTPTA302,10/11/2021: no recent evaluation
RS03INT2-MJ03D-06-BOTPTA303,10/11/2021: no recent evaluation
RS01SUM2-MJ01B-05-CAMDSB103,offline
RS03INT1-MJ03C-05-CAMDSB303,10/11/2021: no recent evaluation
RS03ASHS-PN03B-06-CAMHDA301,10/11/2021: no recent evaluation
RS01SLBS-LJ01A-12-CTDPFB101,10/11/2021: no recent evaluation
RS03ASHS-MJ03B-10-CTDPFB304,10/11/2021: no recent evaluation
RS03AXBS-LJ03A-12-CTDPFB301,10/11/2021: no recent evaluation
RS03CCAL-MJ03F-12-CTDPFB305,10/11/2021: no recent evaluation
RS03ECAL-MJ03E-12-CTDPFB306,10/11/2021: no recent evaluation
RS01SLBS-LJ01A-12-DOSTAD101,10/11/2021: no recent evaluation
RS03AXBS-LJ03A-12-DOSTAD301,10/11/2021: no recent evaluation
RS01SLBS-LJ01A-05-HPIESA101,10/11/2021: no recent evaluation
RS03AXBS-LJ03A-05-HPIESA301,10/11/2021: no recent evaluation
RS01SLBS-LJ01A-09-HYDBBA102,10/11/2021: no recent evaluation
RS03AXBS-LJ03A-09-HYDBBA302,10/11/2021: no recent evaluation
RS01SLBS-MJ01A-05-HYDLFA101,10/11/2021: no recent evaluation
RS01SUM1-LJ01B-05-HYDLFA104,offline
RS03AXBS-MJ03A-05-HYDLFA301,10/11/2021: no recent evaluation
RS03CCAL-MJ03F-06-HYDLFA305,10/11/2021: no recent evaluation
RS03ECAL-MJ03E-09-HYDLFA304,10/11/2021: no recent evaluation
RS01SUM2-MJ01B-06-MASSPA101,not deployed
RS03INT1-MJ03C-06-MASSPA301,not deployed
RS01SLBS-MJ01A-05-OBSBBA102,10/11/2021: no recent evaluation
RS01SUM1-LJ01B-05-OBSBBA101,offline
RS03AXBS-MJ03A-05-OBSBBA303,10/11/2021: no recent evaluation
RS03CCAL-MJ03F-06-OBSBBA301,10/11/2021: no recent evaluation
RS03ECAL-MJ03E-09-OBSBBA302,10/11/2021: no recent evaluation
RS01SUM1-LJ01B-06-OBSSPA103,offline
RS01SUM1-LJ01B-07-OBSSPA102,offline
RS01SUM1-LJ01B-08-OBSSPA101,offline
RS03ASHS-MJ03B-05-OBSSPA302,10/11/2021: no recent evaluation
RS03ASHS-MJ03B-06-OBSSPA301,10/11/2021: no recent evaluation
RS03ECAL-MJ03E-05-OBSSPA303,10/11/2021: no recent evaluation
RS03ECAL-MJ03E-08-OBSSPA304,10/11/2021: no recent evaluation
RS03INT2-MJ03D-05-OBSSPA305,10/11/2021: no recent evaluation
RS01SLBS-LJ01A-11-OPTAAC103,10/11/2021: no recent evaluation
RS03AXBS-LJ03A-11-OPTAAC303,10/11/2021: no recent evaluation
RS01SLBS-MJ01A-06-PRESTA101,10/11/2021: no recent evaluation
RS03AXBS-MJ03A-06-PRESTA301,10/11/2021: no recent evaluation
RS01SUM1-LJ01B-09-PRESTB102,offline
RS03INT1-MJ03C-07-PPSDNA301,10/11/2021: no recent evaluation
RS03INT1-MJ03C-07-RASFLA301,10/11/2021: no recent evaluation
RS03INT1-MJ03C-07-D1000A301,10/11/2021: no recent evaluation
RS03INT1-MJ03C-09-THSPHA301,not deployed
RS03ASHS-MJ03B-07-TMPSFA301,10/11/2021: no recent evaluation
RS03INT1-MJ03C-10-TRHPHA301,10/11/2021: no recent evaluation
RS01SUM2-MJ01B-00-FLOBNC101,10/11/2021: no recent evaluation
RS01SUM2-MJ01B-00-FLOBNM101,10/11/2021: no recent evaluation
RS01SUM2-MJ01B-00-OSMOIA101,10/11/2021: no recent evaluation
RS03ASHS-MJ03B-00-OSMOIA301,10/11/2021: no recent evaluation
RS01SLBS-MJ01A-12-VEL3DB101,10/11/2021: no recent evaluation
RS01SUM1-LJ01B-12-VEL3DB104,offline
RS03AXBS-MJ03A-12-VEL3DB301,10/11/2021: no recent evaluation
RS03INT2-MJ03D-12-VEL3DB304,10/11/2021: no recent evaluation
